epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,319.517,1.16408,0.96442,1.0742,0.67381,0.52764,0.58262,0.36581,1.25971,0.94409,1.08096,0.0099811,0.00332703,0.0099811,0.00332703,0.0099811,0.00332703,0.0099811,0.00332703
2,631.427,1.24188,1.06364,1.11126,0.57756,0.42422,0.44902,0.2592,1.44577,1.36022,1.2028,0.0199616,0.00665386,0.0199616,0.00665386,0.0199616,0.00665386,0.0199616,0.00665386
3,946.058,1.3679,1.21439,1.1828,0.49235,0.35729,0.35057,0.19385,1.57842,1.88784,1.32507,0.0298641,0.00995469,0.0298641,0.00995469,0.0298641,0.00995469,0.0298641,0.00995469
4,1257.79,1.36424,1.19289,1.19009,0.6132,0.43535,0.482,0.28611,1.4271,1.11186,1.19404,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232
5,1569.73,1.27776,1.07278,1.14618,0.67538,0.51121,0.57326,0.35765,1.30456,0.96966,1.13011,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449
6,1881.34,1.23253,1.00727,1.11935,0.68747,0.53012,0.59926,0.38064,1.28178,0.92974,1.10786,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773
7,2192.86,1.2024,0.95874,1.10069,0.69454,0.54334,0.60996,0.39105,1.27317,0.90264,1.10926,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239
8,2503.68,1.17689,0.9191,1.0862,0.72038,0.57618,0.64889,0.42626,1.21673,0.82014,1.07679,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889
9,2815.28,1.15076,0.89329,1.07409,0.73045,0.5647,0.64733,0.42365,1.21265,0.82935,1.07571,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772
10,3126.5,1.13908,0.87116,1.06481,0.73103,0.59782,0.6714,0.44443,1.18397,0.79471,1.05632,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942
11,3437.72,1.12478,0.85373,1.05798,0.71925,0.61408,0.67587,0.45072,1.17913,0.77635,1.05302,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463
12,3749.23,1.11083,0.83646,1.05084,0.74093,0.60949,0.68537,0.4586,1.16622,0.76071,1.04446,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404
13,4060.72,1.10115,0.8181,1.04456,0.74472,0.61488,0.69577,0.46952,1.15049,0.74853,1.0389,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839
14,4371.87,1.08911,0.80566,1.03892,0.74689,0.62943,0.70264,0.47451,1.14539,0.7366,1.03543,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851
15,4682.93,1.07891,0.78977,1.03452,0.75069,0.62955,0.70914,0.47984,1.13939,0.72658,1.03086,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525
16,4994.26,1.07094,0.77796,1.02892,0.75773,0.64197,0.71777,0.48757,1.13186,0.71183,1.02804,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954
17,5305.53,1.06177,0.76521,1.025,0.75845,0.64281,0.72203,0.4904,1.1301,0.71138,1.02409,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234
18,5616.79,1.05267,0.75271,1.01937,0.76565,0.64575,0.7223,0.49212,1.12633,0.70008,1.02176,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468
19,5927.76,1.04614,0.74659,1.01643,0.77092,0.65093,0.72906,0.49939,1.11965,0.69217,1.0198,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761
20,6239.06,1.03552,0.73073,1.01198,0.76458,0.65732,0.73303,0.50216,1.11712,0.68407,1.01896,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222
21,6550.49,1.03138,0.72211,1.00649,0.76848,0.66039,0.73439,0.50381,1.11333,0.68197,1.01616,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963
22,6860.99,1.02211,0.71324,1.00352,0.76812,0.6618,0.73627,0.50601,1.11085,0.67793,1.01401,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101
23,7172.35,1.01349,0.69991,0.99968,0.76433,0.66457,0.73807,0.50752,1.10934,0.67583,1.01326,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754
24,7483.79,1.00886,0.69378,0.99547,0.76306,0.66465,0.7388,0.50842,1.10888,0.67247,1.0126,0.0170112,0.0056704,0.0170112,0.0056704,0.0170112,0.0056704,0.0170112,0.0056704
25,7795.06,1.00213,0.68493,0.99267,0.76945,0.66296,0.73941,0.50881,1.10762,0.66993,1.01233,0.0160824,0.00536081,0.0160824,0.00536081,0.0160824,0.00536081,0.0160824,0.00536081
26,8106.46,0.99309,0.67164,0.98839,0.77144,0.66406,0.7401,0.50915,1.10662,0.66654,1.01164,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
